Ser No,Drone ID,Drone Name,Type,Form Factor,OEM,Range,Weight (KG),Endurance (min),Payload,Payload Weight,Payload Description,Guidance,Anti Ew,C2 Link Frequency,Proc Fund,Serv,Cost (in Thousands),Image Front,Image Back,Image Top,Image Bottom,Unit,Brigade,Division,Corps,Command,KUIN-G
79,CO-CO-BRIG-UNIT-DEM-TRG-79,Demo Drone 079,Trg,Fixed Wg,OEM Nova,5-10 km,8,120,Training Camera,1.9,Synthetic payload profile 4,Tethered drone,None,2.4 GHz,Unit,Ser,3173,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,56Z4JUG5MQIMF5O7
80,CO-CO-BRIG-UNIT-DEM-SVL-80,Demo Drone 080,Svl (SR),Swarm,OEM Zenith,5-10 km,1,480,None,0,Synthetic payload profile 5,Not Specified,Not Specified,5.8 GHz,Central,Ser,3210,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,R3Y2X3OCYZDBRX7U
81,CO-CO-BRIG-UNIT-DEM-SVL-81,Demo Drone 081,Svl (MR),QC,OEM Alpha,10-30 km,2,20,Day Night Cam,0.1,Synthetic payload profile 1,Comd,RTH,900 MHz,ATG,Unser,3247,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,C7UXFHXPVYZAPFFE
82,CO-CO-BRIG-UNIT-DEM-FPV-82,Demo Drone 082,FPV,HC,OEM Bravo,10-30 km,3,35,Thermal Cam,0.2,Synthetic payload profile 2,GNSS (GPS),Anti-jam,2.4 GHz,Regtl,Ser,3284,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,ROE34LY62PQ3D4MZ
83,CO-CO-BRIG-UNIT-DEM-KAM-83,Demo Drone 083,Kamikaze,Fixed Wg,OEM Delta,10-30 km,4,60,Mapping Sensor,0.3,Synthetic payload profile 3,Spool,None,5.8 GHz,Unit,Ser,3321,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,2HBOFOAI3NXR2P5A
84,CO-CO-BRIG-UNIT-DEM-LGS-84,Demo Drone 084,Lgs,Swarm,OEM Nova,10-30 km,5,120,Training Camera,0.4,Synthetic payload profile 4,Tethered drone,Not Specified,900 MHz,Central,Ser,3358,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,FWEBD5VDJ6DULYXU
85,CO-CO-BRIG-UNIT-DEM-TRG-85,Demo Drone 085,Trg,QC,OEM Zenith,10-30 km,6,480,None,0.5,Synthetic payload profile 5,Not Specified,RTH,2.4 GHz,ATG,Ser,3395,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,E6IW5SWIHL6GGYRL
86,CO-CO-BRIG-UNIT-DEM-SVL-86,Demo Drone 086,Svl (SR),HC,OEM Alpha,10-30 km,7,20,Day Night Cam,0.6,Synthetic payload profile 1,Comd,Anti-jam,5.8 GHz,Regtl,Ser,3432,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,UYJVK5SH6LOGPX6G
87,CO-CO-BRIG-UNIT-DEM-SVL-87,Demo Drone 087,Svl (MR),Fixed Wg,OEM Bravo,10-30 km,8,35,Thermal Cam,0.7,Synthetic payload profile 2,GNSS (GPS),None,900 MHz,Unit,Ser,3469,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,3SVIXFNDOI6RGYHR
88,CO-CO-BRIG-UNIT-DEM-FPV-88,Demo Drone 088,FPV,Swarm,OEM Delta,10-30 km,1,60,Mapping Sensor,0.8,Synthetic payload profile 3,Spool,Not Specified,2.4 GHz,Central,Ser,3506,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,OM5PCLICO2VOY4OU
89,CO-CO-BRIG-UNIT-DEM-KAM-89,Demo Drone 089,Kamikaze,QC,OEM Nova,10-30 km,2,120,Training Camera,0.9,Synthetic payload profile 4,Tethered drone,RTH,5.8 GHz,ATG,Ser,3543,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,DSSMUZHKDPVEKOXP
90,CO-CO-BRIG-UNIT-DEM-LGS-90,Demo Drone 090,Lgs,HC,OEM Zenith,< 5 km,3,480,None,1,Synthetic payload profile 5,Not Specified,Anti-jam,900 MHz,Regtl,Unser,3580,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,SRLC2IILBM237C5Q
91,CO-CO-BRIG-UNIT-DEM-TRG-91,Demo Drone 091,Trg,Fixed Wg,OEM Alpha,< 5 km,4,20,Day Night Cam,1.1,Synthetic payload profile 1,Comd,None,2.4 GHz,Unit,Ser,3617,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,WJOTLQS6JFEHA3CT
92,CO-CO-BRIG-UNIT-DEM-SVL-92,Demo Drone 092,Svl (SR),Swarm,OEM Bravo,< 5 km,5,35,Thermal Cam,1.2,Synthetic payload profile 2,GNSS (GPS),Not Specified,5.8 GHz,Central,Ser,3654,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,OSL43NCDNGKQQW44
93,CO-CO-BRIG-UNIT-DEM-SVL-93,Demo Drone 093,Svl (MR),QC,OEM Delta,5-10 km,6,60,Mapping Sensor,1.3,Synthetic payload profile 3,Spool,RTH,900 MHz,ATG,Ser,3691,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,ZV7CERQLJOKR2GQR
94,CO-CO-BRIG-UNIT-DEM-FPV-94,Demo Drone 094,FPV,HC,OEM Nova,5-10 km,7,120,Training Camera,1.4,Synthetic payload profile 4,Tethered drone,Anti-jam,2.4 GHz,Regtl,Ser,3728,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,PAAYIPNUZ6RMODHD
95,CO-CO-BRIG-UNIT-DEM-KAM-95,Demo Drone 095,Kamikaze,Fixed Wg,OEM Zenith,5-10 km,8,480,None,1.5,Synthetic payload profile 5,Not Specified,None,5.8 GHz,Unit,Ser,3765,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,74EECAE2AFU73X3A
96,CO-CO-BRIG-UNIT-DEM-LGS-96,Demo Drone 096,Lgs,Swarm,OEM Alpha,5-10 km,1,20,Day Night Cam,1.6,Synthetic payload profile 1,Comd,Not Specified,900 MHz,Central,Ser,3802,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,VUYNVHMPXRE2FSEO
97,CO-CO-BRIG-UNIT-DEM-TRG-97,Demo Drone 097,Trg,QC,OEM Bravo,5-10 km,2,35,Thermal Cam,1.7,Synthetic payload profile 2,GNSS (GPS),RTH,2.4 GHz,ATG,Ser,3839,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,3CVGGNNH45YUUGXI
98,CO-CO-BRIG-UNIT-DEM-SVL-98,Demo Drone 098,Svl (SR),HC,OEM Delta,5-10 km,3,60,Mapping Sensor,1.8,Synthetic payload profile 3,Spool,Anti-jam,5.8 GHz,Regtl,Ser,3876,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,VOR24AUDCAI6HZY4
99,CO-CO-BRIG-UNIT-DEM-SVL-99,Demo Drone 099,Svl (MR),Fixed Wg,OEM Nova,10-30 km,4,120,Training Camera,1.9,Synthetic payload profile 4,Tethered drone,None,900 MHz,Unit,Unser,3913,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,MMWETI4P4AXXYVXS
100,CO-CO-BRIG-UNIT-DEM-FPV-100,Demo Drone 100,FPV,Swarm,OEM Zenith,10-30 km,5,480,None,0,Synthetic payload profile 5,Not Specified,Not Specified,2.4 GHz,Central,Ser,3950,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,MH24YSLGXSVNCFF6
101,CO-CO-BRIG-UNIT-DEM-KAM-101,Demo Drone 101,Kamikaze,QC,OEM Alpha,10-30 km,6,20,Day Night Cam,0.1,Synthetic payload profile 1,Comd,RTH,5.8 GHz,ATG,Ser,3987,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,E3WUKZK5QRIBIFO4
102,CO-CO-BRIG-UNIT-DEM-LGS-102,Demo Drone 102,Lgs,HC,OEM Bravo,10-30 km,7,35,Thermal Cam,0.2,Synthetic payload profile 2,GNSS (GPS),Anti-jam,900 MHz,Regtl,Ser,4024,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,HTU66QBBVBK75L2D
103,CO-CO-BRIG-UNIT-DEM-TRG-103,Demo Drone 103,Trg,Fixed Wg,OEM Delta,10-30 km,8,60,Mapping Sensor,0.3,Synthetic payload profile 3,Spool,None,2.4 GHz,Unit,Ser,4061,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,YAO5LQ33WXIHWKW4
104,CO-CO-BRIG-UNIT-DEM-SVL-104,Demo Drone 104,Svl (SR),Swarm,OEM Nova,10-30 km,1,120,Training Camera,0.4,Synthetic payload profile 4,Tethered drone,Not Specified,5.8 GHz,Central,Ser,4098,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,B3H2SP5WR23JOJYK
105,CO-CO-BRIG-UNIT-DEM-SVL-105,Demo Drone 105,Svl (MR),QC,OEM Zenith,10-30 km,2,480,None,0.5,Synthetic payload profile 5,Not Specified,RTH,900 MHz,ATG,Ser,4135,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,2U3FDBGIFVV26CUD
106,CO-CO-BRIG-UNIT-DEM-FPV-106,Demo Drone 106,FPV,HC,OEM Alpha,10-30 km,3,20,Day Night Cam,0.6,Synthetic payload profile 1,Comd,Anti-jam,2.4 GHz,Regtl,Ser,4172,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,5N5ECSRIS4XS5BGE
107,CO-CO-BRIG-UNIT-DEM-KAM-107,Demo Drone 107,Kamikaze,Fixed Wg,OEM Bravo,10-30 km,4,35,Thermal Cam,0.7,Synthetic payload profile 2,GNSS (GPS),None,5.8 GHz,Unit,Ser,4209,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,VF6NLV42BD7WAI7Q
108,CO-CO-BRIG-UNIT-DEM-LGS-108,Demo Drone 108,Lgs,Swarm,OEM Delta,< 5 km,5,60,Mapping Sensor,0.8,Synthetic payload profile 3,Spool,Not Specified,900 MHz,Central,Unser,4246,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,777PZTYCHPE2F2SJ
109,CO-CO-BRIG-UNIT-DEM-TRG-109,Demo Drone 109,Trg,QC,OEM Nova,< 5 km,6,120,Training Camera,0.9,Synthetic payload profile 4,Tethered drone,RTH,2.4 GHz,ATG,Ser,4283,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,AU3IU6BW52STNUYY
110,CO-CO-BRIG-UNIT-DEM-SVL-110,Demo Drone 110,Svl (SR),HC,OEM Zenith,< 5 km,7,480,None,1,Synthetic payload profile 5,Not Specified,Anti-jam,5.8 GHz,Regtl,Ser,4320,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,DQOYCTV74WMU4A4L
111,CO-CO-BRIG-UNIT-DEM-SVL-111,Demo Drone 111,Svl (MR),Fixed Wg,OEM Alpha,5-10 km,8,20,Day Night Cam,1.1,Synthetic payload profile 1,Comd,None,900 MHz,Unit,Ser,4357,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,SR2NCGLK3JGUEYIL
112,CO-CO-BRIG-UNIT-DEM-FPV-112,Demo Drone 112,FPV,Swarm,OEM Bravo,5-10 km,1,35,Thermal Cam,1.2,Synthetic payload profile 2,GNSS (GPS),Not Specified,2.4 GHz,Central,Ser,4394,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,UHTEKVZ324GHC5GM
113,CO-CO-BRIG-UNIT-DEM-KAM-113,Demo Drone 113,Kamikaze,QC,OEM Delta,5-10 km,2,60,Mapping Sensor,1.3,Synthetic payload profile 3,Spool,RTH,5.8 GHz,ATG,Ser,4431,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,SQNTD7I5QEHME4P5
114,CO-CO-BRIG-UNIT-DEM-LGS-114,Demo Drone 114,Lgs,HC,OEM Nova,5-10 km,3,120,Training Camera,1.4,Synthetic payload profile 4,Tethered drone,Anti-jam,900 MHz,Regtl,Ser,4468,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,7MCUC24Z7SL64UEL
115,CO-CO-BRIG-UNIT-DEM-TRG-115,Demo Drone 115,Trg,Fixed Wg,OEM Zenith,5-10 km,4,480,None,1.5,Synthetic payload profile 5,Not Specified,None,2.4 GHz,Unit,Ser,4505,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,OHYIRXLBPZQMP6DG
116,CO-CO-BRIG-UNIT-DEM-SVL-116,Demo Drone 116,Svl (SR),Swarm,OEM Alpha,5-10 km,5,20,Day Night Cam,1.6,Synthetic payload profile 1,Comd,Not Specified,5.8 GHz,Central,Ser,4542,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,C5N7CV5VRGCI3VBK
117,CO-CO-BRIG-UNIT-DEM-SVL-117,Demo Drone 117,Svl (MR),QC,OEM Bravo,10-30 km,6,35,Thermal Cam,1.7,Synthetic payload profile 2,GNSS (GPS),RTH,900 MHz,ATG,Unser,4579,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,A7A3RU4LFN7WLNZC
118,CO-CO-BRIG-UNIT-DEM-FPV-118,Demo Drone 118,FPV,HC,OEM Delta,10-30 km,7,60,Mapping Sensor,1.8,Synthetic payload profile 3,Spool,Anti-jam,2.4 GHz,Regtl,Ser,4616,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,IXKB2KBUI5YT2QQD
119,CO-CO-BRIG-UNIT-DEM-KAM-119,Demo Drone 119,Kamikaze,Fixed Wg,OEM Nova,10-30 km,8,120,Training Camera,1.9,Synthetic payload profile 4,Tethered drone,None,5.8 GHz,Unit,Ser,4653,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,FUP7EI765Y2D7Q4C
120,CO-CO-BRIG-UNIT-DEM-LGS-120,Demo Drone 120,Lgs,Swarm,OEM Zenith,10-30 km,1,480,None,0,Synthetic payload profile 5,Not Specified,Not Specified,900 MHz,Central,Ser,4690,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,ZPDSK3N6PZE7TAJF
121,CO-CO-40DX-640X-ANV-SVL-121,Anveshak v1,Svl (SR),QC,Northern Security Pvt Ltd,5-10 km,4,35,Day Night Cam,0.2,Camera,GNSS (GPS),None,1.4 GHz,ATG,Ser,300,Dummy image placeholder,,,,640,40D,Division Alpha,Corps North,Command East,M4QLGUQ3XZY4OQRI
1,CO-CO-40DX-640X-KHA-LOI-01,Kharga C,Loitering Munition,FIxed Wing VTOL,OEM Kilo,10-30 km,20,60,Day Night Cam,2,Day Ni Cam,VIO,VIO,5.8,ATG,Ser,1000,not;,,,,640,40D,Division Alpha,Corps North,Command East,RH43HG7BLY7DEDYI
122,NE-NE-NEWB-640X-KHA-LOI-122,Kharga C2,Loitering Munition,FIxed Wing VTOL,OEM Delta,10-30 km,40,45,day and night cam; grenade,2; 4,kamikaze,gnss; vio; lidar,crpa; vio; lidar,900 MHz,ATG,Ser,10000,uploads/NE-NE-NEW-NEWX-640X.png,,,,640,New Brigade,New Division,New Corps,New Command,NJW6WFEXE4JJ22RD
123,WC-2C-371B-640E-KHA-LOI-123,Kharga C3,Loitering Munition,FIxed Wing VTOL,oem c,31-100 km,40,45,Day Night Cam; Thermal Cam,2; 3,ff; ff,gnss; vio; lidar,crpa; vio; lidar,900 MHz,ATG,Ser,5600,uploads/WC-2C-40D-371B-640E.png,,,,640EME,371B,40D,2C,WC,YHAITWYK4ZG4TACZ
124,WC-2C-371B-640X-HHH-KAM-124,hhhh,Kamikaze,FIxed Wing VTOL,Northern Security Pvt Ltd,< 5 km,76,90,Day Night Cam,090,re,Comd,Anti-jam,1.4 GHz,ATG,Ser,78,,,,,640,371B,40D,2C,WC,BCTRZB6YD7DKPZH5
125,WC-2C-371B-640X-KHA-KAM-125,Kharga C3,Kamikaze,FIxed Wing VTOL,OEM Alpha,< 5 km,67,65,Day Night Cam,67,ni,VIO,crpa; vio; lidar,900 MHz,ATG,Ser,56,,,,,640,371B,40D,2C,WC,HYGYLJ6NNQ2BY6SP
126,CC-2C-371B-640X-IND-FPV-126,indiss,FPV,Swarm,OEM Nova,< 5 km,90,25,Day Night Cam,09,8,Comd,Anti-jam,1.4 GHz,ATG,Ser,90,,,,,640,371B,40D,2C,cc,VQJ6AIT44TICI56K
127,CC-2C-371B-UNIT-KHA-FPV-127,Kharga chakra c4,FPV,FIxed Wing VTOL,Northern Security Pvt Ltd,> 100 km,80,56,Day Night Cam,80,nothing,gnss; vio; lidar,None,900 MHz,Central,Ser,70,,,,,Unit 1,371B,40D,2C,cc,D2F66KYQKJBFZVY7
